title,year,month,day,pubDate,link,description,image_url,image_caption,cluster,Emoción
AMLO: otra duda sobre su cardenismo,2023,3,28,"Tue, 28 Mar 2023 18:48:49 +0000",https://www.elfinanciero.com.mx/opinion/salvador-camarena/2023/03/28/amlo-otra-duda-sobre-su-cardenismo/,"Es común que Lázaro Cárdenas sea utilizado para llevar agua al molino del gobierno en turno, como ocurrió en el mitin de López Obrador.",https://elfinanciero-elfinanciero-prod.cdn.arcpublishing.com/resizer/pRXiPxnlP7N999SQBKyXZNa__JM=/cloudfront-us-east-1.images.arcpublishing.com/elfinanciero/BUNOICXHE5FHRDJCLBD3S7P3GQ.jpg,Andrés Manuel López Obrador quiere usar al general para reivindicarse como un mandatario a su altura en términos nacionalistas.,1,🤔
Esto sabemos de la muerte de 39 migrantes en un incendio en Ciudad Juárez,2023,3,28,"Tue, 28 Mar 2023 18:42:18 +0000",https://www.elfinanciero.com.mx/estados/2023/03/28/esto-sabemos-de-la-muerte-de-39-migrantes-en-un-incendio-en-ciudad-juarez/,"La FGR confirmó la muerte de 39 migrantes tras un incendio que se registró la noche del lunes 27 de marzo en centro de alojamiento de Ciudad Juárez, Chihuahua.",https://elfinanciero-elfinanciero-prod.cdn.arcpublishing.com/resizer/dsnrFZyYjSfcpCSbrvic_5wkK14=/cloudfront-us-east-1.images.arcpublishing.com/elfinanciero/AD7KAKC7BBHBNF2S2UPUIM5QVM.jpg,"Antes del incidente, los agentes del INM habían hecho un operativo para remover de las calles a migrantes que piden limosna.",4,🤔
Ricardo Monreal instala primer comité de proyecto de reconciliación en EU,2023,3,28,"Tue, 28 Mar 2023 18:23:15 +0000",https://www.elfinanciero.com.mx/nacional/2023/03/28/ricardo-monreal-instala-primer-comite-de-proyecto-de-reconciliacion-en-eu/,El senador ha defendido dejar de lado la confrontación permanente e iniciar un proyecto de reconciliación que favorecerá el desarrollo de México.,https://elfinanciero-elfinanciero-prod.cdn.arcpublishing.com/resizer/dIYmyBLZVlWkJHXjY5aPLRiArZg=/cloudfront-us-east-1.images.arcpublishing.com/elfinanciero/GKJIYO7COBAULINWQL5NXUTMPM.jpg,Monreal es una de las llamadas 'corcholatas' de Morena.,1,❤
"Israel, en tiempo extra",2023,3,28,"Tue, 28 Mar 2023 18:20:27 +0000",https://www.elfinanciero.com.mx/opinion/leonardo-kourchenko-el-globo/2023/03/28/israel-en-tiempo-extra/,"La reforma pretende controlar el proceso mediante el cual se designan a jueces y magistrados, para filtrar perfiles acordes a su ideología.",https://elfinanciero-elfinanciero-prod.cdn.arcpublishing.com/resizer/HLugmRLGsBxXO5qJKDmBrC0QM9g=/cloudfront-us-east-1.images.arcpublishing.com/elfinanciero/ZIY63WBE6NDOZFNUQST2D2632E.jpg,"En Israel se han encendido en inflamadas protestas, con personas marchando y enfrentando a las fuerzas policiacas.",3,❤
Alfonso Herrera y su miedo tras tragedia de RBD en Brasil: ¿Qué es la enoclofobia?,2023,3,28,"Tue, 28 Mar 2023 18:08:35 +0000",https://www.elfinanciero.com.mx/espectaculos/2023/03/28/que-es-la-enoclofobia-trastorno-que-padece-alfonso-herrera/,El actor Poncho Herrera contó que ha sentido miedo de las aglomeraciones luego de una fatídica firma de autógrafos con RBD en Brasil.,https://elfinanciero-elfinanciero-prod.cdn.arcpublishing.com/resizer/0uFRFZkChKUpboHC3loThePxQb4=/cloudfront-us-east-1.images.arcpublishing.com/elfinanciero/MSCBVW4X3FEUZPRFCWPPD46TCM.jpeg,La enoclofobia es como se hace llamar al miedo que se siente ante las multitudes. (Foto: Shutterstock),1,🤔
Refuerzo de vacuna COVID: OMS recomienda ya no aplicarlo a estas personas,2023,3,28,"Tue, 28 Mar 2023 18:04:34 +0000",https://www.elfinanciero.com.mx/salud/2023/03/28/refuerzo-de-vacuna-covid-oms-sugiere-ya-no-aplicarlo-a-estas-personas/,La rentabilidad de vacunar contra COVID-19 a personas de grupos de bajo riesgo fue uno de los factores analizados por el Grupo Asesor Estratégico de Expertos en Inmunización.,https://elfinanciero-elfinanciero-prod.cdn.arcpublishing.com/resizer/f43sIToC0rj--u_vbZipvfB9pwU=/cloudfront-us-east-1.images.arcpublishing.com/elfinanciero/LZWNXW4VKFGYFKM4BONK3I72PU.jpg,"La pandemia de COVID-19 está en sus números más bajos alrededor del mundo, como en México.",1,🤔
"‘No depende de Cocca, ni del ‘Peje’; ‘Chicharito’ opina sobre abucheos a la Selección Mexicana",2023,3,28,"Tue, 28 Mar 2023 18:04:33 +0000",https://www.elfinanciero.com.mx/deportes/2023/03/28/chicharito-hernandez-defiende-a-la-seleccion-mexicana-de-abucheos-ante-jamaica-en-estadio-azteca/,Javier ‘Chicharito’ Hernández defendió a sus colegas y excompañeros de la Selección Mexicana de los abucheos que se llevaron en el partido ante Jamaica de Liga de Naciones de Concacaf en el Estadio Azteca y calificó como “extrema” la reacción de los aficionados.,https://elfinanciero-elfinanciero-prod.cdn.arcpublishing.com/resizer/ScJ5efTnzMI-N3HoCxkB0yGevhQ=/cloudfront-us-east-1.images.arcpublishing.com/elfinanciero/N3JBG6GXAJCWPMKNAPGOAULQWQ.jpg,Chicharito abogó por la Selección Mexicana.,2,🤔
Muerte de migrantes en Ciudad Juárez: extitular del INM sugiere que los dejaron encerrados,2023,3,28,"Tue, 28 Mar 2023 17:53:52 +0000",https://www.elfinanciero.com.mx/nacional/2023/03/28/muerte-de-migrantes-en-ciudad-juarez-extitular-del-inm-sugiere-que-los-dejaron-encerrados/,Más de 30 personas migrantes fallecieron en un incendio en una estación migratoria en Chihuahua.,https://elfinanciero-elfinanciero-prod.cdn.arcpublishing.com/resizer/fD7AEHikkTyM7FyD9V7dwEzQZ5w=/cloudfront-us-east-1.images.arcpublishing.com/elfinanciero/UPYJBX4C5FFIXGGHKXJZPI7SPM.jpg,Un incendio en un centro migratorio de Ciudad Juárez dejó varias personas muertas.,4,😢
"Riña en penal de Victoria, Tamaulipas, deja 8 reos heridos",2023,3,28,"Tue, 28 Mar 2023 17:53:34 +0000",https://www.elfinanciero.com.mx/estados/2023/03/28/rina-en-penal-de-victoria-tamaulipas-deja-8-reos-heridos/,"Los hechos se registraron a las 3:30 horas de este 28 de marzo, cuando se enfrentaron reos en uno de los módulos del penal de Victoria, Tamaulipas.",https://elfinanciero-elfinanciero-prod.cdn.arcpublishing.com/resizer/3Lb2ZBr7PmVKOheHstkDny99yaM=/cloudfront-us-east-1.images.arcpublishing.com/elfinanciero/M27RIBL7VBC6LFRSZYZVZ3YFZM.jpg,Una riña al interior del penal de Victoria dejó como saldo ocho reos heridos.,4,❤
Carlos Rivera y Cynthia Rodríguez serán papás: Este es el nombre de su bebé,2023,3,28,"Tue, 28 Mar 2023 17:41:34 +0000",https://www.elfinanciero.com.mx/espectaculos/2023/03/28/carlos-rivera-y-cynthia-rodriguez-seran-papas-este-es-el-nombre-de-su-bebe/,Los cantantes anunciaron la llegada de su primer bebé.,https://elfinanciero-elfinanciero-prod.cdn.arcpublishing.com/resizer/Ew0p-VT6SieBS31Zelg9aVVBwR8=/cloudfront-us-east-1.images.arcpublishing.com/elfinanciero/HTHXNB26WRBATNNFWHGTRBZUZ4.jpg,Carlos Rivera y Cynthia serán papás; así fue el anuncio de su embarazo. (Fotos: Instagram @_carlosrivera y @cynoficial),1,❤
