text,klass
"_USR _USR _USR _USR La comparsa que los arrastra, también queda mal, se les está pudriéndo el corazón _EMO️",❤
"_USR Queen of the night Pero he llorado siempre que veo Butterfly, y una vez con Turandot _EMO️",❤
Extraño darles muchos abrazos y besos a mis abuelitos_EMO,😭
"Mi mamá si jala a fumar porro conmigo, pero no tenemos. _EMO",😭
¡Esperen! No me eliminen 🤗 Puedo explicarlo todo. _EMO️ _URL,❤
_USR Ya los quiero verrrrssss _EMO️ mas a bebé la verdad Jajaja 😍 una ginebrita o te cagas ?,❤
"_USR _USR _USR Gracias, pero lo gracioso es que todos estos dias los he realizado y van bien pero ahra se fue a la kk, pero gracias por responder _EMO veamos si sale colaboración",😊
_USR ¡Eso sí! 🙈_EMO🥰😁 ¡Lo bueno es que alcanzamos a ir a todas las fiestas antes de la cuarentena! 😋🤭,❤
Hacia tiempo que no hablaba tan bonito con Alejandra_EMO,🥺
_USR Jajaja sorry nena ese bebé que ya empezará a darnos sustos 🤭 pero muchas gracias por las recomendaciones _EMO️,❤
"Aún no puedo salir oficialmente con nadie , todavía tengo mucho miedo ☹️_EMO",😭
_USR Muchas gracias _EMO por el momento fue falsa alarma pero ya faltan pocos días 👶🏻,😊
_USR no dejes que nadien te haga sentir mal las personas que realmente te valoran te entenderán te amo _EMO️😘 y no se dejarán llevar por chismes,❤
😩 por qué no le dio al viejo rabo verde que no da la cara _EMO💔,😭
"Por qué nunca le dije de mi plan, quizás eso lo cambiaba todo 😣_EMO",🥺
Nuestro Kyu de Jardinero se ve tan lindo cuidando de su siembra _EMO🥰😍💚👍 #SS501 #DoubleS301 #TripleS #parkjungmin #박정민#KimHyunJoong #김현중 #KimKyuJong #김규종 #KimHyungJun #김형준 #HeoYoungSaeng #허영생 #Henecia #YES #ThanKYU… _URL,😊
_USR #ElRecodoSeFiltra y aquí estamos presentes #FamiliaRecodo 💯_EMO️🙏🏼💫 #EsParaBien _USR _USR _URL,❤
Todo sería mejor si pasara esta cuarentena en ni pueblito pero también extrañaba pasar tiempo con mi mamá _EMO,❤
Ya va creciendo mi cabello_EMO️ Prometo no volver a cortarlo 😉 _URL,❤
"STAN MARIO B Mario Bautista es una de las personas más lindas que conozco, Mario me inspira mucho, influye muy bonito en mi vida, me enseña a creer en mi, Mario nos contagia buena vibra, nos aconseja lo mejor siempre, es una increíble persona y un gran artista. Lo amo muchoo _EMO️⚡️ _URL",❤
"Cuando todo es mutuo, no importa nada ni el tiempo, la distancia, la edad,_EMO️",❤
