title,year,month,day,pubDate,link,description,image_url,image_caption,cluster,Emoción
Pretenden juzgar dos veces por el mismo delito a defensor del río Metlapanapa,2023,3,28,2023-03-28T11:46:01-00:00,https://www.proceso.com.mx/nacional/2023/3/28/pretenden-juzgar-dos-veces-por-el-mismo-delito-defensor-del-rio-metlapanapa-304405.html,"El activista fue encarcelado en enero de 2020, siendo considerado el primer “preso político” de la 4T y aunque fue liberado una semana después, ha seguido sujeto a proceso. Ahora el tribunal ha ordenado que se reponga el juicio por dos delitos de los que ya había sido exonerado.",https://www.proceso.com.mx/u/fotografias/m/2023/3/28/f300x190-171297_179457_6533.jpg,"El activista fue encarcelado en enero de 2020, siendo considerado el primer “preso político” de la 4T y aunque fue liberado una semana después, ha seguido sujeto a proceso. Ahora el tribunal ha ordenado que se reponga el juicio por dos delitos de los que ya había sido exonerado.",2,🤔
AMLO anuncia campaña contra las drogas en escuelas secundarias y bachilleratos,2023,3,28,2023-03-28T11:25:02-00:00,https://www.proceso.com.mx/nacional/2023/3/28/amlo-anuncia-campana-contra-las-drogas-en-escuelas-secundarias-bachilleratos-304402.html,"“Si te drogas te dañas”, es el nombre de la campaña que busca llegar a más de 11 millones de estudiantes.",https://www.proceso.com.mx/u/fotografias/m/2023/3/28/f300x190-171294_179454_7248.jpg,"“Si te drogas te dañas”, es el nombre de la campaña que busca llegar a más de 11 millones de estudiantes.",3,🤔
Informe &quot;Voces contra la indiferencia&quot;,2023,3,28,2023-03-28T11:15:03-00:00,https://www.proceso.com.mx/nacional/2023/3/28/informe-voces-contra-la-indiferencia-304403.html,,https://www.proceso.com.mx/u/fotografias/m/2020/12/31/f300x190-127582_135742_5050.jpg,,4,❤
"Samuel perdona a refinería, pero arresta a tiradores de escombro",2023,3,28,2023-03-28T11:03:04-00:00,https://www.proceso.com.mx/nacional/estados/2023/3/28/samuelperdona-refineria-pero-arresta-tiradores-de-escombro-304400.html,La Secretaría del Medio Ambiente de Nuevo León promovió denuncias que terminaron en las vinculaciones de cuatro hombres por realizar acciones contra la ecología.,https://www.proceso.com.mx/u/fotografias/m/2023/3/28/f300x190-171293_179453_3238.jpg,La Secretaría del Medio Ambiente de Nuevo León promovió denuncias que terminaron en las vinculaciones de cuatro hombres por realizar acciones contra la ecología.,0,🤔
"2022, el año más violento para periodistas; hubo 696 ataques contra la prensa en México: Artículo 19",2023,3,28,2023-03-28T10:59:05-00:00,https://www.proceso.com.mx/nacional/2023/3/28/2022-el-ano-mas-violento-para-periodistas-hubo-696-ataques-contra-la-prensa-en-mexico-articulo-19-304389.html,"“Durante el cuarto año de Andrés Manuel López Obrador se agredió a la prensa cada 13 horas, mientras que en el mismo periodo de las dos administraciones pasadas la frecuencia fue de 21 y 55 horas, respectivamente”, señala el informe “Voces contra la indiferencia”.",https://www.proceso.com.mx/u/fotografias/m/2023/3/28/f300x190-171290_179450_5319.jpg,"“Durante el cuarto año de Andrés Manuel López Obrador se agredió a la prensa cada 13 horas, mientras que en el mismo periodo de las dos administraciones pasadas la frecuencia fue de 21 y 55 horas, respectivamente”, señala el informe “Voces contra la indiferencia”.",3,❤
Ejército considera a activistas y periodistas &quot;enemigos potenciales&quot; del gobierno: Artículo 19,2023,3,28,2023-03-28T10:59:06-00:00,https://www.proceso.com.mx/nacional/2023/3/28/ejercito-considera-activistas-periodistas-enemigos-potenciales-del-gobierno-articulo-19-304388.html,"“Estos hechos reafirman el uso ilegítimo de tecnologías de vigilancia, en especial, el realizado por las fuerzas armadas sin contar con atribuciones normativas”, señala el informe “Voces contra la indiferencia”",https://www.proceso.com.mx/u/fotografias/m/2023/3/28/f300x190-171292_179452_5866.jpg,"“Estos hechos reafirman el uso ilegítimo de tecnologías de vigilancia, en especial, el realizado por las fuerzas armadas sin contar con atribuciones normativas”, señala el informe “Voces contra la indiferencia”",4,🤔
Muerte de 39 migrantes en incendio es producto de un &quot;sistema de migración quebrado&quot;: Ken Salazar,2023,3,28,2023-03-28T09:52:07-00:00,https://www.proceso.com.mx/nacional/2023/3/28/muerte-de-39-migrantes-en-incendio-es-producto-de-un-sistema-de-migracion-quebrado-ken-salazar-304398.html,"El embajador de Estados Unidos en México declaró que esto es parte de los ""riesgos de la migración irregular"" y dijo que el gobierno estadunidense se une ""al dolor de los familiares de personas migrantes que perdieron la vida y de lesionados en  incendio en Ciudad Juárez"".",https://www.proceso.com.mx/u/fotografias/m/2022/6/5/f300x190-155800_163960_4731.jpg,"El embajador de Estados Unidos en México declaró que esto es parte de los ""riesgos de la migración irregular"" y dijo que el gobierno estadunidense se une ""al dolor de los familiares de personas migrantes que perdieron la vida y de lesionados en  incendio en Ciudad Juárez"".",4,🤔
"Tras suspensión del &quot;Plan B&quot;, AMLO califica al ministro Laynez como &quot;su alteza serenísima&quot;",2023,3,28,2023-03-28T09:38:08-00:00,https://www.proceso.com.mx/nacional/2023/3/28/tras-suspension-del-plan-b-amlo-califica-al-ministro-laynez-como-su-alteza-serenisima-304396.html,"“Lo que fue aprobado por el legislativo, que es el poder más cercano a la soberanía popular, y de repente un ministro que no es electo por el pueblo, ni siquiera la Suprema Corte, sino un ministro la cancela”, señaló el mandatario .",https://www.proceso.com.mx/u/fotografias/m/2023/3/28/f300x190-171288_179448_5050.jpeg,"“Lo que fue aprobado por el legislativo, que es el poder más cercano a la soberanía popular, y de repente un ministro que no es electo por el pueblo, ni siquiera la Suprema Corte, sino un ministro la cancela”, señaló el mandatario .",4,🤔
Migrantes en Ciudad Juárez prendieron fuego a colchones tras enterarse que serían deportados: AMLO,2023,3,28,2023-03-28T08:02:09-00:00,https://www.proceso.com.mx/nacional/2023/3/28/migrantes-en-ciudad-juarez-prendieron-fuego-colchones-tras-enterarse-que-serian-deportados-amlo-304391.html,"El presidente dijo que aún no tienen información de los nombres y nacionalidad de quienes perdieron la vida, pero “son migrantes de Centroamérica fundamentalmente y de Venezuela que estaban en ese albergue de Ciudad Juárez.",https://www.proceso.com.mx/u/fotografias/m/2023/3/28/f300x190-171289_179449_5050.jpg,"El presidente dijo que aún no tienen información de los nombres y nacionalidad de quienes perdieron la vida, pero “son migrantes de Centroamérica fundamentalmente y de Venezuela que estaban en ese albergue de Ciudad Juárez.",3,🤔
Incendio en centro migratorio deja 39 muertos en Ciudad Juárez,2023,3,28,2023-03-28T07:52:10-00:00,https://www.proceso.com.mx/nacional/2023/3/28/incendio-en-centro-migratorio-deja-39-muertos-en-ciudad-juarez-304390.html,"El fuego comenzó el lunes por la noche en unas instalaciones de la agencia migratoria mexicana junto a la frontera con El Paso, en una zona de dormitorios donde “estaba alojados 68 hombres mayores de edad originarios de Centro y Sudamérica”, agregó el comunicado.",https://www.proceso.com.mx/u/fotografias/m/2023/3/28/f300x190-171281_179441_5050.jpg,"El fuego comenzó el lunes por la noche en unas instalaciones de la agencia migratoria mexicana junto a la frontera con El Paso, en una zona de dormitorios donde “estaba alojados 68 hombres mayores de edad originarios de Centro y Sudamérica”, agregó el comunicado.",3,😊
